short_name,long_name,player_positions,overall,position,nationality
L. Qamili,Lirim QamiliЛирим Ќамили,"ST, RW, CAM",68,SUB,North Macedonia
I. Rodríguez,Ignacio Agustín Rodríguez,"LM, CM, RM, LW",67,RES,Argentina
T. Molina,Tómas Martín Molina,ST,71,ST,Argentina
C. Ikonomidis,Christopher James IkonomidisΚρίστοφερ Τζέιμς Οικονομίδης,"RM, ST, RW",62,ST,Australia
M. Sanders,Max Harrison Sanders,"CDM, CM, CAM",62,CAM,England
M. Rafferty,Marcus Rafferty,"LW, LM",63,SUB,Sweden
J. Lunney,Jonathan Lunney,"CM, CDM",60,CDM,Republic of Ireland
F. Bianchini,Florian Bianchini,"ST, LM, RM, CAM",66,SUB,France
E. Weir,Evan Weir,"CB, LB",61,LCB,Republic of Ireland
A. Musaba,Anthony Tite Musaba,"RM, RW, LM",70,RM,Netherlands
L. Gindorf,Lars Timo Gindorf,"ST, CAM",67,LAM,Germany
I. Hoffmann,Ian Jakob Hoffmann,"RB, LB, RM",63,RB,United States
T. Rommens,Tuur Rommens,"LB, LM",69,LB,Belgium
R. Kristiansen,Ruben Kristiansen,"LB, CB, LM",67,LB,Norway
C. Mawissa,Christian Mawissa Elebi,"CB, LB, LM",75,LCB,France
J. Nduquidi,Joseph Nduquidi Diazongua Nfingui,"CDM, CM",63,SUB,Angola
N. Hämäläinen,Nicholas Antero Hämäläinen,"LB, LM",66,LB,Finland
A. Hüseynov,Abbas İsrafil oğlu Hüseynov,"RB, CB, LB, RM",66,SUB,Azerbaijan
J. Guidetti,John Alberto Fernando Andres Luigi Olof Guidetti,ST,64,SUB,Sweden
O. Rivero,Raúl Octavio Rivero Falero,ST,72,ST,Uruguay
M. Robinson,Miles Gordon Robinson,CB,73,RCB,United States
J. Stephens,Jack Stephens,CB,72,RCB,England
Chico Lamba,Chico Faria Camará Lamba,CB,70,RCB,Portugal
E. Twumasi,Emmanuel Twumasi,"RB, RM, LB",64,RB,Ghana
Gabilondo,Jokin Gabilondo Garmendia,"RB, RM",67,SUB,Spain
J. Naschberger,Johannes Naschberger,"CM, CDM",63,RCM,Austria
E. Alagich,Ethan Maya Alagich,"CDM, CM, CAM",65,LDM,Australia
T. Cipot,Tio Cipot,"LM, LW, CAM",66,LAM,Slovenia
Kikas,João Diogo Alves Rodrigues,"ST, RW, LW, RM",71,SUB,Portugal
O. Lebedenko,Orest LebedenkoЛебеденко Орест Зіновійович,"LB, LM",69,SUB,Ukraine
M. Marras,Manuel Marras,"RM, LM, RW",68,LM,Italy
T. Cassandro,Tommaso Cassandro,"RB, RM",66,SUB,Italy
G. Corona,Giacomo Corona,ST,63,SUB,Italy
N. Kasanwirjo,Neraysho Meritchio Kasanwirjo,"RB, CB, CDM",69,SUB,Netherlands
F. Surdez,Franck William Surdez,"LM, CAM, ST, LW",69,SUB,Switzerland
F. Aliti,Fidan Aliti,"CB, LB",67,CB,Kosovo
G. Álvarez,Pedro Gastón Álvarez Sosa,"CB, LB, LM",75,LCB,Uruguay
M. Portillo,Marcos Ezequiel Portillo,"CM, CDM, RW",63,SUB,Argentina
R. Tierney,Ross Tierney,"CAM, RM, CM",64,RM,Republic of Ireland
A. Abdulai,Azeem Kerr Abdulai,"LM, CAM, LW",64,SUB,Scotland
H. Carter,Hayden James Carter,"CB, RB",70,SUB,England
D. Fila,Daniel Fila,ST,71,SUB,Czechia
K. Doukoure,Kevin Doukoure Grobry,"CDM, CM",62,SUB,Côte d'Ivoire
L. Guzmán,Brian Lautaro Guzmán,"LM, RM, RW, LW",67,SUB,Argentina
K. Vincent-Young,Kane Benjamin Vincent-Young,"RB, LB, RM",61,RB,Grenada
D. Ask,Daniel Ask,"CM, CDM",63,CDM,Sweden
C. Donovan,Colby Donovan,"RB, CB, RM",64,RES,Scotland
R. Buess,Roman Buess,ST,63,ST,Switzerland
D. Irandust,Daleho Irandust,"RM, CAM, RW",66,RM,Syria
E. Soglo,Emran Soglo,"LB, LM",64,RES,England
C. Palan,Chapal Palan,"CM, CDM",57,LDM,India
S. Clare,Sean James Kewku Clare,"RB, RM, CB, RW",65,SUB,England
C. Whitely,Corey Milton Whitely,"LW, CM, LM",60,SUB,England
D. Pierias,Dylan Pierias,"RB, RM",64,RB,Australia
F. Fernández,Fernando Fabián Fernández Acosta,ST,70,SUB,Paraguay
M. Listkowski,Marcin Listkowski,"CAM, LM, CM",62,RES,Poland
H. Mustapha,Hindolo Thomas Eric Mustapha,"CAM, CM",61,RES,Sierra Leone
A. Cascioli,Axle Cascioli,"CAM, CM",63,LCM,Australia
E. Austbø,Edvin Austbø,"LW, RW, LM",66,LW,Norway
M. Ferreira,Robinson Martín Ferreira García,"LB, CB, LM",69,LCB,Uruguay
Park Ji Soo,Ji-su Park박지수 朴志洙,CB,70,LCB,Korea Republic
L. Fridrikas,Lukas Fridrikas,"ST, CAM",65,SUB,Austria
Adu Ares,Malcom Abdulai Ares Djaló,"LM, RM, LW",68,SUB,Spain
M. Trojak,Miłosz Trojak,CB,67,SUB,Poland
E. Gyabuaa,Manu Emmanuel Gyabuaa,CM,61,RES,Italy
A. Dijksteel,Anfernee Jamal Dijksteel,"RB, RM",69,SUB,Suriname
N. Fenyő,Fenyő Noah Gabriel,"CDM, CB, CM",61,RES,Hungary
A. Johansson,Eric Alexander Johansson,"ST, LW, CAM",63,SUB,Sweden
L. James-Wildin,Luther Ash James-Wildin,"RB, CB, RM",65,RB,Antigua and Barbuda
A. Marcus,Abraham Ayomide Marcus,"RM, RW, CM",65,RCM,Nigeria
U. Charles,Uba Charles Nwokoma,"RB, RM",63,SUB,Nigeria
Lü Zhuoyi,Lü Zhuoyi吕焯毅,"RB, LB, RM",66,RB,China PR
M. Iacobellis,Marco Osvaldo Iacobellis Nahara,"RM, CAM, LM, RW",67,SUB,Argentina
L. Doucet,Lohann Doucet,"CDM, CM",68,SUB,France
Salvi Sánchez,Salvador Sánchez Ponce,"RM, LM, RW",69,RES,Spain
E. López,Enzo Adrián López,ST,64,SUB,Argentina
Pedro Nuno,Pedro Nuno Fernandes Ferreira,"CAM, CM",63,SUB,Portugal
N. Tauer,Niklas Tauer,"CDM, CM, CB",66,RES,Germany
O. Batista Meier,Oliver Batista Meier,"CAM, LM, ST, CM",68,CAM,Germany
C. Stead,Callum Stead,"CAM, ST, LW, CM",64,LS,England
Kazu,Christian Kendji Wagatsuma Ferreira,"LB, LM",64,LB,Brazil
J. Branthwaite,Jarrad Paul Branthwaite,CB,79,SUB,England
Cassiano,Cassiano Dias Moreira,ST,72,ST,Brazil
M. Ivanović,Mihailo IvanovićМихаило Ивановић,ST,69,RS,Serbia
R. Lutin,Rayan Lutin,"CAM, LM, CM",66,LM,Comoros
M. Engels,Mario Engels,"LW, ST, LM",66,LW,Germany
M. Khlan,Maksym KhlanХлань Максим Сергійович,"LM, LW",67,SUB,Ukraine
J. Gordon,Joshua Luke Gordon,ST,59,RES,England
D. Sinik,Doğukan Sinik,"LM, LW",68,SUB,Türkiye
Lee Kang Hee,Kang-hee Lee이강희,"CDM, CB, CM",63,SUB,Korea Republic
G. Fechner,Gino Fechner,"CDM, CM, CB",65,SUB,Germany
K. Andrews,Kai Andrews,"CM, CAM",60,SUB,Wales
W. Tesillo,William José Tesillo Gutiérrez,"CB, LB, LM",74,LCB,Colombia
N. Valentini,Nicolás Valentini,CB,73,RES,Argentina
B. Jackson,Ben Joseph Jackson,"LB, RB, LM",64,LB,England
G. David,Gabriel Eugen David,"CM, CDM",60,RES,Romania
R. Trevitt,Ryan Joseph Trevitt,"CM, CAM",62,LCM,England
R. Alm,Rasmus Alm,"RM, RW, LW",67,SUB,Sweden
Mario Cantero,Mario Cantero Mariño,"CM, CDM, RM",63,RES,Spain
D. Worrall,David Richard Worrall,"RB, RM",58,SUB,England
I. Dolček,Ivan Dolček,"LM, LW, RW",66,RW,Croatia
M. Boxall,Michael Joseph Boxall,CB,70,CB,New Zealand
E. Riis,Emil Riis Jakobsen,ST,71,ST,Denmark
F. Cham,Fallou Cham,"RB, RM",66,SUB,Gambia
Tomané,António Manuel Fernandes Mendes,ST,69,RES,Portugal
M. Kwarteng,Moritz-Broni Kwarteng,"RW, CAM, RM",69,RES,Germany
A. Baron,Anthony Kévin Baron,"LB, CB, CDM",66,SUB,France
A. Opoku,Aaron Opoku Tiawiah,"RM, LM, RW",67,SUB,Germany
D. Adorni,Davide Adorni,CB,70,CB,Italy
F. Ruschke,Felix Ruschke,"LM, LB",64,RES,Germany
J. Goyal,Jajendya Goyal,"ST, CDM",58,RS,India
J. Opoku,Jerome Osei Opoku,CB,72,LCB,Ghana
A. Cissè,Alphadjo Cissè,"CAM, CM",64,SUB,Italy
M. Miljević,Matko Mijael Miljevic,"CAM, ST, LM, CM",66,CAM,United States
M. Palestra,Marco Palestra,"RM, RB",65,SUB,Italy
A. Kabar,Almugera Raouf Mohammed Kabar,"LB, LM",64,RES,Germany
S. Di Benedetto,Samuele Di Benedetto,"CM, CDM",61,RDM,Germany
G. Frimpong,Godfried Ayesu Owusu Frimpong,"LB, LM",70,SUB,Netherlands
R. Stewart,Ross Cameron Stewart,ST,71,SUB,Scotland
Marlinito Dias,Marlon Rômulo Dias Cavalcanti,"CDM, CB, CM",70,LDM,Brazil
N. Pennington,Nicholas Pennington,"CM, CDM",64,LCM,Australia
Kodro,Kenan Kodro,ST,70,RES,Bosnia and Herzegovina
A. Pantea,Alexandru Grigoraş Pantea,"RB, LB, RM",66,SUB,Romania
T. Bakoulas,Theofanis BakoulasΘεοφάνης Μπακούλας,"CDM, CM",64,RCM,Greece
A. Kuol,Alou Mawien Kuol,ST,62,SUB,Australia
Renato Rochela,Renato Peter Rochela Costa,"CAM, LM, LW, CM",68,LW,Brazil
Z. Westbrooke,Zain Sam Westbrooke,"CM, RW, CDM",60,SUB,England
Alvaro Rodríguez,Álvaro Rodríguez Pérez,"RB, LB, RM",66,RES,Spain
D. Bakola,Darryl Bakola,"CAM, CM",63,RES,France
D. Kiki,David Enagnon Kiki,"LB, RB, LM",63,SUB,Benin
F. Bilbija,Filip Bilbija,"CAM, CM, ST",71,RAM,Germany
C. Irié,Cyriaque Kalou Bi Irié,"RM, ST, RW",70,SUB,Burkina Faso
Aitor Paredes,Aitor Paredes Casamichana,CB,78,RCB,Spain
M. Senaya,Marvin Senaya,"RB, RM",69,RB,France
A. Milić,Antonio Milić,CB,71,LCB,Croatia
N. Belloni,Niccolò Belloni,"LM, RM, LB",64,SUB,Italy
T. Perry,Taylor Perry,"CM, CAM, CDM",62,RCM,England
C. Inao Oulaï,Christ Ravynel Inao Oulaï,"CAM, CDM, CM",64,SUB,Côte d'Ivoire
J. Martini,Jacopo Martini,CM,62,SUB,Italy
B. Lubala,Beryly Logos Lubala,"ST, LM, LW",63,SUB,Congo DR
S. Taniguchi,Shogo Taniguchi谷口 彰悟,CB,69,RCB,Japan
A. Powell,Alvas Elvis Powell,"RB, RM, CB, RW",65,SUB,Jamaica
J. Courtney-Perkins,Jordan Alan Courtney-Perkins,"LB, CB, LM",64,LB,Australia
C. Baird,Corey Jacob Baird,"ST, RM, RW",66,SUB,United States
T. Salman,Tarek Salman Suleiman Odehطارق سلمان سليمان عودة,"CB, RB",68,,Qatar
Park Cheol Woo,Cheol-woo Park박철우,"LB, LM, LW",67,RES,Korea Republic
M. Coyle,Mark Coyle,"CM, CDM, CB",61,SUB,Republic of Ireland
G. Dalrymple,Giulio Dalrymple,"RW, RM",64,RM,Australia
V. Screciu,Vladimir Ionuț Screciu,"CDM, CB",68,SUB,Romania
G. Earthy,George Robert Earthy,"CAM, RM, CM",67,RES,England
Matheus Dias,Matheus Dos Santos Dias,"CDM, CM, CB",68,CDM,Brazil
M. Sylla,Mohamad Sylla,"CDM, CM",66,CDM,France
H. Cornick,Harry Charles Frederick Cornick,"ST, RM, RW, CAM",67,SUB,England
M. Hilgers,Mees Victor Joseph Hilgers,CB,72,SUB,Indonesia
Y. Zague,Yoram Zague,"RB, LB, RM",65,SUB,France
Luis Perea,Luis Perea Hernández,"CDM, CM",64,SUB,Spain
R. Lozano,Raúl Alberto Lozano,"RB, LB, RM",69,RES,Argentina
D. Zabala,Daniel Lucas Zabala,"CB, RB, RM",66,RES,Argentina
M. Soldo,Marko Soldo,"CDM, CM",65,SUB,Croatia
Marcão,Marcos Vinicius Amaral Alves,ST,72,LS,Brazil
N. Sadaoui,Noah Wail Jacob Sadaouiنوح وائل سعداوي,"LM, ST, LW",68,LM,Morocco
N. Uysal,Necip Uysal,"CB, CDM, RB, CM",68,SUB,Türkiye
M. Llontop,Mathías Daniel Llontop Díaz,"LB, LM",66,LB,Peru
C. Harper,Cameron Harper,"RM, RB, CAM, RW",66,RAM,United States
M. Dams,Matteo Dams,"LB, CB, LM",68,SUB,Belgium
D. Hume,Denver Jay Hume,"LB, LM",65,SUB,England
L. Smans,Levi Smans,"CAM, CM",67,RES,Netherlands
Bermejo,Sergio Bermejo Lillo,"RM, CAM, RW",68,RM,Spain
S. Mørk,Sander Risan Mørk,"CM, CDM",63,LCM,Norway
A. Sylla,Abakar Loubadhe Sylla,CB,72,SUB,Côte d'Ivoire
M. Al Olayan,Madallah Ali Al Olayanمدالله العليان,"LB, RB, LM",63,SUB,Saudi Arabia
E. Cerrillo,Edwin Javier Cerrillo,"CDM, CM, CB",68,LDM,United States
Javi Rueda,Javier Rueda García,"RB, RM",68,SUB,Spain
B. Gimber,Benedikt Steffen Gimber,"CB, CDM",71,LCB,Germany
T. Schmitt,Tate Schmitt,"LB, LM",61,SUB,United States
J. Hungbo,Joseph Oluwagbemiga Mayowa Hungbo,"RM, RW, LM",67,LM,England
G. Gent,Georgie Simon Gent,"LB, LM",65,SUB,England
E. Topçu,Emirhan Topçu,"CB, LB",73,SUB,Türkiye
N. Ünüvar,Naci Ünüvar,"LM, CAM, LW",69,SUB,Türkiye
J. Lindberg,Jonas Lindberg,"ST, LM, LW",62,SUB,Sweden
A. Grbić,Adrian Grbić,ST,67,ST,Austria
P. Rodríguez,Patricio Julián Rodríguez,"LW, LM, ST",70,SUB,Argentina
K. Łukasiak,Kacper Łukasiak,"CAM, CM",64,LCM,Poland
J. Garrett,Jake Joseph Garrett,"CDM, CM, CAM",63,RES,England
E. Pinnock,Ethan Rupert Pinnock,CB,77,SUB,Jamaica
L. Amarilla,Luis Antonio Amarilla Lencina,ST,69,SUB,Paraguay
J. Hansen,Jakob Segadal Hansen,"CM, CAM",63,RCM,Norway
M. Rohr,Maximilian Rohr,"CB, CDM",68,LCB,Germany
Kiko,Francisco Teixeira Domingues,"LB, LM",65,LB,Portugal
F. Krastev,Filip Yavorov KrastevФилип Кръстев,"LM, LW",69,SUB,Bulgaria
G. Padrón,Gerardo José Padrón Colmenares,"LM, CM, CAM, LW",68,SUB,Venezuela
S. Salle,Santiago Salle,"RB, RM",62,SUB,Argentina
L. Dykes,Lyndon John Dykes,"ST, CAM, CM",68,SUB,Scotland
J. Lora,Carlos Jhilmar Lora Saavedra,"RB, RM",69,SUB,Peru
B. Vides,Bruno Leonel Vides,"ST, LW",65,SUB,Argentina
G. Paredes,Gabriel Paredes,"LB, LM",63,RES,Argentina
A. Madibo,Assim Omer Al Haj Madiboعاصم ماديبو,"CDM, CM",65,,Qatar
Juan Sebastián,Juan Sebastián Serrano,"RB, CB, LB, RM",68,RB,Spain
A. Keena,Aidan Keena,ST,63,SUB,Republic of Ireland
T. Bindon,Tyler Grant Bindon,"CB, RB",69,LCB,New Zealand
R. Fernández,Ronnie Alan Fernández Sáez,ST,69,SUB,Chile
Rodrigo Pinho,Rodrigo Cunha Pereira de Pinho,"ST, RW, RM",70,SUB,Brazil
G. Kilkenny,Gavin Kilkenny,"CM, CDM",63,CDM,Republic of Ireland
P. Gueye,Pape Habib Guèye,"ST, CAM, CM",68,ST,Senegal
T. Maswanhise,Tawanda Jethro Maswanhise,"LW, ST, RM, LM",66,RM,Zimbabwe
S. Magnússon,Sævar Atli Magnússon,"RW, ST, CAM, RM",66,SUB,Iceland
J. Lorch,Jeremias Lorch,"CB, CM, CDM",66,CB,Germany
G. Quagliata,Giacomo Quagliata,"LB, LM",69,SUB,Italy
M. Ortega,Martín Yamil Ortega,"RB, RM",67,SUB,Argentina
J. Mosquera,Jherson Steven Mosquera Castro,RB,69,RB,Colombia
J. Cazares,Juan Ramón Cazares Sevillano,"CAM, CM",67,SUB,Ecuador
Á. Ramos,Álvaro Sebastián Ramos Sepúlveda,"ST, RW, RM",68,SUB,Chile
D. Guindo,Daouda Guindo,"LB, LM",67,SUB,Mali
S. Hidalgo,Santiago Hidalgo Massa,"RW, CAM, RM",69,RW,Argentina
S. Biuk,Stipe Biuk,"LM, RM, LW",67,LM,Croatia
J. Headley,Jaheim Anthony Headley,"LB, LM",62,SUB,England
C. Driouech,Couhaib Driouechصهيب دريوش,"LW, LM",70,SUB,Morocco
J. Cardozo,Juan José Cardozo López,"CM, CDM",62,RES,Paraguay
Park Se Jin,Se-jin Park박세진,"CM, CAM",63,RES,Korea Republic
S. Sandberg,Simon Sandberg,"CB, RB, RM",65,RCB,Sweden
Miguel Sousa,Miguel Ferreira de Sousa,"CAM, CM, RM",67,SUB,Portugal
N. Orsini,Nicolás Orsini,"ST, RW, CAM",70,RES,Argentina
E. Bajraktarević,Esmir Bajraktarević,"RW, RM",67,SUB,Bosnia and Herzegovina
T. Gaprindashvili,Tornike Gaprindashviliთორნიკე გაფრინდაშვილი,"RW, CM, RM",64,RW,Georgia
Sergio Viera,Sergio Viera Garcia,"CDM, CM, CAM",62,RES,Spain
A. Broja,Armando Broja,ST,72,SUB,Albania
J. Donley,Jamie Paul Donley,"CAM, CM",67,SUB,Northern Ireland
A. Toșca,Alin Dorinel Toșca,"CB, LB, LM",66,SUB,Romania
J. Cummings,Jason Steven Cummings,"ST, CAM",67,RS,Australia
Y. Goitia,Jonatan Esteban Goitía,"CDM, CM, RB",66,CDM,Argentina
Carlos Espí,Carlos Espí Escrihuela,ST,68,SUB,Spain
T. Gomulka,Taras Jan Gomulka,"CM, CDM",60,RCM,Australia
S. Ouaissa,Sami Ouaissa,"RM, CAM, RW",68,RM,Netherlands
D. Widgren,Trond Dennis Widgren,"LB, LM",64,SUB,Sweden
L. Koumas,Lewis KoumasΛούις Κούμας,"RM, LM, RW",69,SUB,Wales
R. Paula,Raul Carlos Vasko Caldaroska Paula,"RM, LM, RB",66,SUB,Germany
A. Méndez,Armando Jesús Méndez Alcorta,"RB, RM",71,RB,Uruguay
A. Londoño,Azarias Emmanuel Londoño González,"ST, RW, RM",65,RM,Panama
N. Ogbeta,Nathanael Simeon Ogbeta,"LB, LM",66,LB,England
S. Coulibaly,Soumaïla Coulibaly,CB,72,SUB,France
A. Muñoz,Emiliano Ariel Muñoz Aizcorbe,"CAM, CM",61,RES,Argentina
R. Bardghji,Roony Bardghjiروني بردغجي,"RM, RW",69,SUB,Sweden
S. Divan,Sanjit Divan,"RM, RW",64,SUB,India
N. Prelec,Nik Prelec,ST,69,SUB,Slovenia
Wang Jianan,Wang Jia'nan王嘉楠,"LB, RB, LM",60,LB,China PR
Dai Weijun,Dai Weijun戴伟浚,"CM, CAM, RM",60,RES,China PR
M. Alonso,Mauricio Sebastián Alonso Pereda,"RM, LM, RW",65,LM,Uruguay
L. Raolisoa,Lilian Raolisoa,"RB, RM",70,SUB,France
M. van Bergen,Mitchell van Bergen,"RM, LM, RW",69,RM,Netherlands
S. Souprayen,Georges Marie Samuel Souprayen,CB,66,SUB,France
E. Gimenez,Elián Ezequiel Giménez,"CM, CDM",64,RCM,Argentina
Edgar,Edgar Bruno da Silva,"ST, LW, RW, LM",66,ST,Brazil
M. Clark,Max Oliver Clark,"LB, LM",63,LB,England
J. Bowler,Joshua Luke Bowler,"RM, RW, LM",69,SUB,England
L. Carrizo,Lucas Eduardo Carrizo,"CB, LB, LM",67,SUB,Argentina
A. Crnac,Ante Crnac,"ST, RM, CAM, RW",68,LAM,Croatia
N. Wimmer,Nicolas Wimmer,CB,70,LCB,Austria
M. Kaba,Mohamed Kaba,"CDM, CM",68,SUB,France
G. Kanellopoulos,Georgios KanellopoulosΓεώργιος Κανελλόπουλος,CM,64,SUB,Greece
O. Kobacki,Olaf Kobacki,"LM, LW",64,SUB,Poland
A. Bulatović,Andrija BulatovicАндрија Булатовић,CM,64,RES,Montenegro
R. Ghrieb,Rayan Ghrieb,"RM, RW",68,SUB,France
R. Nyambe,Ryan Simasiku Nyambe,"RB, CB, RM",67,RM,Namibia
T. Kolodziejczak,Timothée Christian Kolodziejczak,CB,69,SUB,France
D. Maftei,David Iulian Maftei,"RB, RM",66,RB,Romania
T. Pellenard,Théo Pellenard,CB,69,LCB,France
Capi,Hugo Martínez González,"CDM, CM",60,RES,Spain
D. Varešanović,Dal Varesanovic,"CAM, CM",67,SUB,Bosnia and Herzegovina
F. Di Michele Sanchez,Fabio Di Michele Sanchez,"LB, LM",66,LM,Germany
C. Lannert,Christopher Lannert,"RB, RM",67,RB,Germany
E. Weinhauer,Erik Weinhauer,"CAM, RM, LM, ST",63,SUB,Germany
Álex Calvo,Alejandro Calvo Mata,"RW, RM",66,RW,Spain
H. Mahou,Hicham Mahouهشام ماحو,"LM, RM, ST, LW",66,SUB,France
A. Arce,Álex Adrián Arce Barrios,ST,75,SUB,Paraguay
R. Thellufsen,Rasmus Thellufsen Pedersen,"CM, CAM",62,SUB,Denmark
A. Ghareeb,Abdulrahman Abdullah Ghareebعبد الرحمن غريب,"LM, LW",70,SUB,Saudi Arabia
S. Milewski,Sebastian Milewski,"LM, CM, RM, LB",64,SUB,Poland
A. Sarmiento,Andrés de Jesús Sarmiento Salas,"LM, LW",70,SUB,Colombia
M. Armellino,Marco Armellino,"CM, CDM",66,RES,Italy
O. Correia,Omar Correia,"CDM, CM",64,SUB,France
A. Gheorghiță,Andrei Cosmin Gheorghiță,"RM, LM, ST, RW",66,SUB,Romania
Eo Jeong Won,Jeong-won Eo어정원,"RB, LB",65,LB,Korea Republic
Zé Carlos,José Carlos Natário Ferreira,"RB, CM, RM",66,SUB,Portugal
I. Mesík,Ivan Mesík,CB,66,LCB,Slovakia
S. Nombe,Samuel Tshiayima Nombe,ST,67,RS,England
Z. Ashworth,Zachary Ashworth,"LB, LM",64,SUB,Wales
I. Salah,Ibrahim Salahابراهيم صلاح,"LW, ST, LM",70,SUB,Morocco
B. Nagy,Barnabás Nagy,"LB, LM",66,LB,Hungary
N. Athanasiou,Nikolaos Athanasiou,"LB, LM",69,LM,Greece
Chapela,Iván Chapela López,"LM, RM, LW",69,RM,Spain
A. Gilchrist,Alfie Gilchrist,"RB, CB, RM",71,RB,England
C. Ramirez,Christian Ramírez,"ST, CAM, CM",68,ST,United States
A. Schott,Augusto Schott,"RB, LB, RM",66,SUB,Argentina
A. Al Hamdan,Abdullah Abdulrahman Al Hamdanعبدالله الحمدان,"ST, CAM",64,SUB,Saudi Arabia
K. Schumacher,Kevin Schumacher,"LM, LB",64,SUB,Germany
C. Labidi,Chiheb Labidiشهاب العبيدي,CM,65,RCM,Tunisia
Carlos Fernández,Carlos Fernández Luna,ST,69,SUB,Spain
A. Cantero,Alan Martín Cantero,"ST, LW, CAM",68,SUB,Argentina
K. Spadanuda,Kevin Spadanuda,"LM, LB",67,LM,Switzerland
J. Vásquez,Johan Felipe Vásquez Ibarra,CB,75,LCB,Mexico
P. Bizoza,Parfait Bizoza,"CM, CDM",64,LCM,Burundi
Henrique Araújo,Henrique Pereira Araújo,ST,70,SUB,Portugal
T. Kawamura,Takumu Kawamura川村 拓夢,"CM, CAM",65,RES,Japan
M. Miranda,Matías Nicolás Miranda,"CAM, RM, LM, CM",65,RES,Argentina
M. Seoane,Mateo Seoane,"CM, CDM",64,RCM,Argentina
M. Pernía,Miguel Ángel Pernía Almao,"LB, CB, LM",69,LB,Venezuela
R. Tapia,Rodrigo Ernesto Tapia,"CB, LB",68,RCB,Argentina
J. Farrell,Jacob Brett Farrell,"LB, LM",67,RES,Australia
Diego Rodrigues,Diego Henrique Oliveira Rodrigues,"CM, CDM",66,SUB,Portugal
D. Kyerewaa,Daniel Kankam Kyerewaa,"CAM, LW, RW, CM",65,RW,Germany
K. Koné,Kialy Abdoul Koné,"LM, LW",64,SUB,Côte d'Ivoire
J. McMillan,Jack McMillan,"RM, RB, CM",63,RM,Scotland
L. Egloff,Lilian Niclas Egloff,"CM, CAM, ST",65,RCM,Germany
R. Jones,Ricky-Jade Jones,"ST, LM, LW",65,SUB,England
R. Elongo-Yombo,Rodney Elongo-Yombo,"LW, ST, LM",64,SUB,Germany
C. Araújo,César Nahuel Araújo Vilches,"CDM, CM",69,SUB,Uruguay
T. Parmo,Tomás Parmo,"CAM, CM",64,RES,Argentina
A. Sanyang,Abdoulie Bamba Sanyang,"RM, ST, RW",67,SUB,Gambia
L. Rosenboom,Lasse Rosenboom,"RB, RM",69,RM,Germany
N. Al Abed,Nawaf Shaker Fayrouz Al Abedنواف العابد,"CAM, RM, LM, CM",65,SUB,Saudi Arabia
J. Kerr,Jason Kerr,CB,66,CB,Scotland
Rodrigo Pinheiro,Rodrigo Pinheiro Ferreira,"RB, RM",70,RB,Portugal
G. Díaz Núñez,Gabriel Díaz Núñez,"LB, LM",68,LB,Argentina
T. Touré,Tidjany Chabrol Touré,"LM, RM, LW",68,SUB,France
L. Montano,Leonel Caicedo Montano Dahl,"LB, LM",64,SUB,Denmark
P. Twumasi,Patrick Twumasi,"LM, ST, CAM, LW",67,SUB,Ghana
E. Dixon-Bonner,Elijah Malik Dixon-Bonner,"CM, CDM",63,RES,England
E. Ancheta,Emiliano Ancheta Da Rosa,"RB, RM",68,SUB,Uruguay
S. Crone,Svenn Crone,"RB, LB, RM",64,LB,Denmark
J. Taylor,Joseph William John Taylor,ST,66,SUB,Wales
Antonaldo Laforte,Antonaldo V. Laforte Beretta,"CAM, CM",68,SUB,Brazil
D. Scherhant,Derry Lionel Scherhant,"ST, LM, LW, CAM",69,SUB,Germany
B. Paulsen,Bjørn Iversen Paulsen,CB,66,CB,Denmark
D. Etienne Jr.,Derrick Burckley Etienne Jr.,"LM, ST, LW",66,SUB,Haiti
M. Sahi,Moïse Orell Dion Sahi,"ST, CAM",69,SUB,Côte d'Ivoire
C. Malley,Connor Malley,"CDM, CM",61,SUB,England
S. Diarra,Stéphane Imad Diarra,"RM, LM, RW",68,SUB,Côte d'Ivoire
M. Kyabou,Moussa Kyabou,"CDM, CM",64,RDM,Mali
M. Diakhaby,Mouctar Diakhaby,CB,76,LCB,Guinea
J. Morán,Juan Segundo Morán,"LB, LM",65,SUB,Argentina
R. Svindland,Remi-André Svindland,"RW, CM, RM",64,SUB,Norway
D. Oldaker,Darren Joseph Norman Oldaker,"CDM, CM, CB",61,LCM,England
K. Gordon,Kellan Sheene Gordon,"RB, LB, RM",61,SUB,England
J. Mercado,John Anthony Mercado Cuero,"LW, LM, RM",70,SUB,Ecuador
P. Wiesinger,Philipp Wiesinger,CB,69,RCB,Austria
Manu Sánchez,Manuel Sánchez García,"RB, RM",63,SUB,Spain
F. Arismendi,José Fernando Arismendi Peralta,"RM, CM, RW",64,RM,Uruguay
U. Mathisen,Ulrik Mathisen,"RW, CM, LW, RM",64,RW,Norway
Tomás Nuninho,Tomás Nicolas Nuninho Alfaro,"CDM, CM",68,SUB,Brazil
A. Sejdič,Amar Sejdić,"CM, CAM, CDM",63,SUB,Germany
Lee Jin Yong,Jin-yong Lee이진용,"CM, CDM",62,SUB,Korea Republic
Manu Nieto,Manuel Nieto Sánchez,ST,67,SUB,Spain
J. Lennon,Jamie Lennon,"CDM, CM",64,RCM,Republic of Ireland
K. Szmyt,Kajetan Szmyt,"RM, LM, RW",66,RM,Poland
